Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,702,0,4400.0,7238.669322222132,16.405200003646314,24725.798600004055,68.0,5.795933940510337,0.0,4400,8800,15000,16000,18000,20000,23000,24000,25000,25000,25000
GET,GET /api/ -> https://books.toscrape.com/,667,0,2000.0,6589.787511244322,39.283899997826666,24816.83980001253,8223.0,5.506962875100278,0.0,2000,7500,12000,14000,19000,20000,25000,25000,25000,25000,25000
GET,GET /api/ -> https://docs.docker.com/,561,0,710.0,4595.014570945632,151.41910000238568,24265.85610001348,1856.0,4.631793362715526,0.0,710,5200,7600,8200,16000,19000,20000,23000,24000,24000,24000
GET,GET /api/ -> https://flask.palletsprojects.com/,522,0,580.0,4232.023153831912,151.74530001240782,24747.947399999248,20936.0,4.3097970326871735,0.0,580,4700,7000,7600,16000,18000,21000,24000,25000,25000,25000
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,424,0,520.0,5705.465523350077,150.27589999954216,26307.59529999341,12313.0,3.5006780495390073,0.0,520,3600,8000,15000,22000,24000,25000,25000,26000,26000,26000
GET,GET /api/ -> https://httpbin.org/,631,0,590.0,4447.543646433562,35.609599988674745,24736.423599999398,332.0,5.2097354935356455,0.0,590,1800,7500,8200,17000,20000,24000,25000,25000,25000,25000
GET,GET /api/ -> https://locust.io/,456,0,520.0,3872.0459383770694,154.6412000025157,24618.32979999599,5097.0,3.7648801664853475,0.0,530,3400,7000,7600,13000,17000,19000,20000,25000,25000,25000
GET,GET /api/ -> https://redis.io/,477,0,520.0,4578.6514584901515,154.55629999632947,24737.871599994833,7780.0,3.938262805731383,0.0,520,3900,7800,11000,16000,19000,24000,25000,25000,25000,25000
GET,GET /api/ -> https://training.play-with-docker.com/,394,0,470.0,3270.5506718277115,150.344399997266,21684.759900002973,1503.0,3.252988564901813,0.0,480,1700,4900,6300,9700,17000,19000,20000,22000,22000,22000
GET,GET /api/ -> https://www.python.org/,607,0,640.0,4453.179044645697,157.36439998727292,24685.272300004726,13844.0,5.01158390582589,0.0,640,5100,7100,8000,16000,20000,24000,24000,25000,25000,25000
,Aggregated,5441,0,710.0,5041.484498437869,16.405200003646314,26307.59529999341,6977.259878698768,44.9226161970324,0.0,710,5300,7800,9600,17000,20000,24000,25000,25000,26000,26000
