Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,1210,0,190.0,506.5162307437998,7.269399997312576,4290.4232000000775,68.0,10.135182751265647,0.0,190,340,550,670,1600,2000,2500,3700,4300,4300,4300
GET,GET /api/ -> https://books.toscrape.com/,1209,0,210.0,355.23715442563315,5.417599983047694,4118.823500000872,8223.0,10.126806567173691,0.0,210,310,370,430,660,1200,2100,2200,4000,4100,4100
GET,GET /api/ -> https://docs.docker.com/,1190,0,180.0,357.5386457138855,6.074500008253381,3401.763200003188,1856.0,9.967659069426546,0.0,180,300,430,520,720,1200,1900,2200,3100,3400,3400
GET,GET /api/ -> https://flask.palletsprojects.com/,1179,0,180.0,406.6312069550385,5.822399980388582,4079.332399996929,20936.0,9.87552104441504,0.0,180,270,350,460,740,2000,2800,3500,4000,4100,4100
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,1152,0,200.0,2887.6870090275324,8.084500004770234,30850.772600009805,11286.916666666666,9.649364073932253,0.0,200,300,430,540,2100,30000,30000,30000,30000,31000,31000
GET,GET /api/ -> https://httpbin.org/,1201,0,190.0,362.4681923402257,7.636000023921952,4392.850799980806,332.0,10.059797094438052,0.0,190,270,400,520,670,1200,2100,2400,4200,4400,4400
GET,GET /api/ -> https://locust.io/,1163,0,190.0,391.45461040413244,8.099400001810864,6104.8103000211995,5097.0,9.741502098943759,0.0,190,270,370,480,650,1700,2200,2900,5200,6100,6100
GET,GET /api/ -> https://redis.io/,1172,0,190.0,474.3880098972687,7.443399983458221,25004.262900009053,7780.0,9.816887755771354,0.0,190,270,350,450,690,1900,4300,4900,9900,25000,25000
GET,GET /api/ -> https://training.play-with-docker.com/,1146,0,190.0,1195.2356453754887,6.223000003956258,16780.55000002496,1503.0,9.599106969380522,0.0,190,280,410,510,2100,9700,12000,13000,14000,17000,17000
GET,GET /api/ -> https://www.python.org/,1198,0,180.0,372.43652228695123,5.761200009146705,4332.904900016729,14427.0,10.034668542162187,0.0,190,280,420,530,710,1200,2100,2400,4100,4300,4300
,Aggregated,11820,0,190.0,722.1961706006898,5.417599983047694,30850.772600009805,7137.841455160745,99.00649596690906,0.0,190,290,400,510,790,2000,4200,13000,30000,30000,31000
