Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,665,0,1900.0,2895.7151431585066,18.59700001659803,12188.26049999916,68.0,5.590019406574047,0.0,1900,4400,5200,5300,7100,8800,10000,12000,12000,12000,12000
GET,GET /api/ -> https://books.toscrape.com/,649,0,2200.0,2972.6924110942655,40.837999986251816,19574.9820000201,8223.0,5.455522699047454,0.0,2200,4000,4700,5100,6300,6900,19000,19000,20000,20000,20000
GET,GET /api/ -> https://docs.docker.com/,593,0,1100.0,2862.1494300160116,196.56370001030155,19470.257900014985,1856.0,4.984784222704376,0.0,1100,3500,4900,5300,6900,8600,18000,19000,19000,19000,19000
GET,GET /api/ -> https://flask.palletsprojects.com/,583,0,970.0,3048.066267239007,196.42629998270422,19600.48920000554,20936.0,4.900723780500255,0.0,970,4300,5500,6100,7300,8800,19000,19000,20000,20000,20000
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,532,0,630.0,4640.294510714223,184.20309998327866,21527.416700002505,12313.0,4.472015525259238,0.0,630,4900,6100,6800,19000,19000,20000,20000,22000,22000,22000
GET,GET /api/ -> https://httpbin.org/,630,0,850.0,3005.520508095339,198.18010000744835,19621.439599985024,332.0,5.295807858859624,0.0,860,3300,4700,5100,6600,12000,19000,20000,20000,20000,20000
GET,GET /api/ -> https://locust.io/,558,0,760.0,2974.984148925174,203.30389999435283,19594.853299990064,5097.0,4.690572674989952,0.0,770,4300,5400,6100,6800,8200,19000,19000,20000,20000,20000
GET,GET /api/ -> https://redis.io/,573,0,790.0,3024.2959392665607,191.1880999978166,19593.861600005766,7780.0,4.816663338296134,0.0,790,4800,5800,6200,7300,9000,11000,19000,20000,20000,20000
GET,GET /api/ -> https://training.play-with-docker.com/,511,0,460.0,2643.7063919767143,197.44570000329986,16223.440100002335,1503.0,4.295488596630584,0.0,460,4200,5200,6100,7400,8000,9200,11000,16000,16000,16000
GET,GET /api/ -> https://www.python.org/,612,0,700.0,2879.668818954135,188.97930000093766,19285.340900009032,13844.0,5.144499062892206,0.0,730,3100,4400,5200,7000,14000,18000,19000,19000,19000,19000
,Aggregated,5906,0,980.0,3081.201117914066,18.59700001659803,21527.416700002505,7109.811378259397,49.64609716575387,0.0,980,4000,5100,5800,7100,9200,19000,19000,20000,22000,22000
