Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,374,0,16000.0,12796.667908556537,84.89369999733754,27616.770399996312,68.0,3.1457145928634733,0.0,16000,17000,18000,18000,19000,21000,23000,27000,28000,28000,28000
GET,GET /api/ -> https://books.toscrape.com/,361,0,19000.0,16724.121697229835,1020.3803000040352,29309.608000010485,8223.0,3.0363715722559195,0.0,19000,20000,22000,23000,27000,28000,29000,29000,29000,29000,29000
GET,GET /api/ -> https://docs.docker.com/,119,0,17000.0,14594.960869747525,1838.2319000083953,29177.557600021828,1856.0,1.0009091886383779,0.0,17000,19000,19000,24000,28000,28000,29000,29000,29000,29000,29000
GET,GET /api/ -> https://flask.palletsprojects.com/,91,0,17000.0,14921.515753847076,2435.774899990065,28674.93770000874,20936.0,0.7654011442528772,0.0,17000,20000,21000,24000,28000,28000,28000,29000,29000,29000,29000
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,41,0,20000.0,20894.149190245804,14308.068700018339,29094.887699990068,12313.0,0.34485106499305457,0.0,20000,23000,25000,25000,25000,26000,29000,29000,29000,29000,29000
GET,GET /api/ -> https://httpbin.org/,261,2,18000.0,16182.792453257352,828.2271999923978,28882.97410000814,330.00766283524905,2.195271413736274,0.016822003170392903,18000,20000,23000,23000,27000,28000,28000,29000,29000,29000,29000
GET,GET /api/ -> https://locust.io/,52,0,18000.0,16412.448580769145,5925.494800001616,28753.00579998293,5097.0,0.4373720824302155,0.0,18000,19000,20000,20000,24000,27000,28000,29000,29000,29000,29000
GET,GET /api/ -> https://redis.io/,70,0,22000.0,18903.438425713935,5245.063200010918,30021.695200004615,6779.714285714285,0.5887701109637516,0.0,22000,23000,24000,24000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://training.play-with-docker.com/,29,0,18000.0,19510.074017242256,14831.705200020224,27592.690999998013,1503.0,0.2439190459706971,0.0,18000,20000,21000,22000,27000,27000,28000,28000,28000,28000,28000
GET,GET /api/ -> https://www.python.org/,185,0,19000.0,17151.123676216546,1980.9161000011954,29351.498300005915,14427.0,1.5560352932613437,0.0,19000,21000,24000,28000,29000,29000,29000,29000,29000,29000,29000
,Aggregated,1583,2,18000.0,15738.361969235923,84.89369999733754,30021.695200004615,5788.468730259002,13.314615509365984,0.016822003170392903,18000,19000,21000,23000,27000,28000,29000,29000,30000,30000,30000
