Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,255,0,5300.0,6152.1542317646,89.01390002574772,15385.565000004135,68.0,2.208279796799467,0.0,5300,8400,9100,9600,13000,14000,15000,15000,15000,15000,15000
GET,GET /api/ -> https://books.toscrape.com/,240,0,7100.0,8340.188311666861,963.348599994788,17339.190400001826,8223.0,2.0783809852230277,0.0,9000,11000,12000,13000,14000,16000,17000,17000,17000,17000,17000
GET,GET /api/ -> https://docs.docker.com/,220,0,13000.0,10704.798044091547,266.938199987635,16448.994899983518,1856.0,1.9051825697877756,0.0,13000,14000,15000,15000,15000,16000,16000,16000,16000,16000,16000
GET,GET /api/ -> https://flask.palletsprojects.com/,193,0,13000.0,11269.777514507492,624.126900016563,16348.364499979652,20936.0,1.6713647089501849,0.0,13000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,79,0,14000.0,12170.20645316453,3742.7090000128374,17801.52020000969,12313.0,0.6841337409692466,0.0,14000,15000,16000,16000,17000,17000,18000,18000,18000,18000,18000
GET,GET /api/ -> https://httpbin.org/,233,0,9500.0,8457.826575536263,511.31790000363253,14963.29169999808,332.0,2.0177615398206896,0.0,9500,11000,12000,13000,14000,14000,15000,15000,15000,15000,15000
GET,GET /api/ -> https://locust.io/,113,0,14000.0,11620.337585842111,1865.6503000238445,16304.920700000366,5097.0,0.9785710472091755,0.0,14000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000
GET,GET /api/ -> https://redis.io/,142,0,16000.0,14125.181020422171,3042.303100024583,20466.2299999909,7780.0,1.2297087495902914,0.0,16000,17000,18000,18000,19000,19000,20000,20000,20000,20000,20000
GET,GET /api/ -> https://training.play-with-docker.com/,65,0,12000.0,10683.79570615451,2398.4647000033874,15661.940799996955,1503.0,0.5628948501645701,0.0,12000,13000,14000,14000,15000,15000,16000,16000,16000,16000,16000
GET,GET /api/ -> https://www.python.org/,225,0,12000.0,10309.670767555164,680.1748999860138,16710.718800022732,14427.0,1.9484821736465885,0.0,12000,14000,14000,15000,15000,16000,16000,16000,17000,17000,17000
,Aggregated,1765,0,11000.0,9838.914193484481,89.01390002574772,20466.2299999909,7090.312747875354,15.284760162161017,0.0,11000,13000,14000,15000,16000,17000,18000,19000,20000,20000,20000
