Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,2592,0,130.0,3124.690989159206,3.551799978595227,31505.55100000929,58.73070987654321,21.82253294688546,0.0,130,220,340,490,2300,30000,30000,30000,31000,32000,32000
GET,GET /api/ -> https://books.toscrape.com/,2514,0,180.0,2324.4384848446725,3.629599988926202,31334.8374000052,7301.699284009546,21.165836353576406,0.0,180,280,370,440,850,30000,30000,30000,31000,31000,31000
GET,GET /api/ -> https://docs.docker.com/,2318,0,180.0,277.98208019846743,3.6506000033114105,5692.1355000231415,1741.0,19.51567568321007,0.0,180,270,340,380,540,700,1300,2200,4900,5700,5700
GET,GET /api/ -> https://flask.palletsprojects.com/,2316,0,180.0,268.84681252181707,3.8844000082463026,3057.605500012869,19667.0,19.498837309022658,0.0,180,260,330,370,540,760,1400,2100,2900,3100,3100
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,2306,0,170.0,258.39709041601594,3.9667000237386674,2973.6895999812987,11810.0,19.4146454380856,0.0,170,240,310,350,510,700,1600,2200,2800,3000,3000
GET,GET /api/ -> https://httpbin.org/,2370,0,210.0,746.4179032911151,35.101499990560114,30402.03009999823,308.3776371308017,19.95347341208277,0.0,210,300,370,420,600,950,2700,30000,30000,30000,30000
GET,GET /api/ -> https://locust.io/,2312,0,170.0,252.69822651405266,3.7585000100079924,2813.5853999992833,4762.0,19.465160560647835,0.0,170,250,320,370,510,690,1100,2000,2600,2800,2800
GET,GET /api/ -> https://redis.io/,2313,0,170.0,271.67701033324323,3.9139000000432134,3905.5213000101503,7221.0,19.47357974774154,0.0,170,260,340,380,550,760,1400,2200,3600,3900,3900
GET,GET /api/ -> https://training.play-with-docker.com/,2304,0,190.0,264.17340017369247,19.748899998376146,3050.641000008909,1424.0,19.39780706389819,0.0,190,250,310,350,480,650,1100,2000,2500,3100,3100
GET,GET /api/ -> https://www.python.org/,2325,0,160.0,258.66284907537624,4.18700001318939,4286.96199998376,12980.0,19.57460999286601,0.0,160,240,300,360,510,760,1600,2200,4000,4300,4300
,Aggregated,23670,0,170.0,844.8414473384746,3.551799978595227,31505.55100000929,6642.549218419941,199.28215850801652,0.0,170,260,330,380,580,1000,4000,30000,30000,31000,32000
