Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,2290,0,100,252.15261912707436,3.609500010497868,5013.481600006344,65.0,20.05829520598772,0.0,100,190,280,350,610,1000,1900,2200,3700,5000,5000
GET,GET /api/ -> https://books.toscrape.com/,2284,0,160.0,256.9340980735879,3.1796999974176288,22392.36759999767,7848.0,20.005740720731854,0.0,160,250,320,380,540,770,1200,1600,2700,22000,22000
GET,GET /api/ -> https://docs.docker.com/,2271,0,170.0,260.7355443855587,3.276699979323894,4025.201200012816,1741.0,19.891872669344153,0.0,170,260,330,400,550,770,1200,2000,2900,4000,4000
GET,GET /api/ -> https://flask.palletsprojects.com/,2266,0,170.0,261.8826553395568,3.1857999856583774,3113.936999987345,19667.0,19.848077264964267,0.0,170,260,340,390,550,710,1200,2100,3000,3100,3100
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,2254,0,160.0,244.66978855348287,3.253300004871562,3264.834300003713,11810.0,19.74296829445254,0.0,160,240,310,370,520,670,1100,2200,2700,3300,3300
GET,GET /api/ -> https://httpbin.org/,2280,0,200.0,286.4093796055194,27.90879999520257,3991.264400014188,313.0,19.970704397227948,0.0,200,280,340,390,550,750,1200,2000,3000,4000,4000
GET,GET /api/ -> https://locust.io/,2257,0,150.0,239.80109946835063,3.180700005032122,3405.2497999800835,4762.0,19.769245537080472,0.0,150,240,310,360,510,670,970,1700,2800,3400,3400
GET,GET /api/ -> https://redis.io/,2262,0,160.0,254.40577639291396,3.489800001261756,3718.1918999995105,7221.0,19.813040941460358,0.0,160,250,320,370,530,700,1100,2300,3200,3700,3700
GET,GET /api/ -> https://training.play-with-docker.com/,2248,0,180.0,275.8828638341266,40.73959999368526,3116.780199983623,1424.0,19.690413809196677,0.0,180,270,330,370,540,700,1100,2300,3000,3100,3100
GET,GET /api/ -> https://www.python.org/,2274,0,130.0,247.08057625370043,3.495900018606335,3972.081400017487,12980.0,19.918149911972083,0.0,130,230,300,360,530,710,1400,2300,3700,4000,4000
,Aggregated,22686,0,160.0,258.00341360315394,3.1796999974176288,22392.36759999767,6776.236577624967,198.70850875241806,0.0,160,250,320,370,540,740,1300,2100,3200,4200,22000
