Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,2459,0,110.0,1497.8357296869124,3.6863999848719686,30484.48549999739,62.356649044326964,20.519149522518347,0.0,110,200,310,430,1300,2300,30000,30000,30000,30000,30000
GET,GET /api/ -> https://books.toscrape.com/,2454,0,180.0,1464.0187647518583,3.867399995215237,30830.23629998206,7528.195599022005,20.477426973672234,0.0,180,270,350,410,640,1300,30000,30000,31000,31000,31000
GET,GET /api/ -> https://docs.docker.com/,2334,0,180.0,266.65469952879437,3.743699984624982,3178.341199993156,1741.0,19.476085801365524,0.0,180,270,330,380,540,730,1200,2200,3000,3200,3200
GET,GET /api/ -> https://flask.palletsprojects.com/,2326,0,180.0,273.422275408614,3.7973999860696495,3260.0063999998383,19667.0,19.409329723211744,0.0,180,260,330,380,570,750,1200,2500,3200,3300,3300
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,2317,0,170.0,263.5570268451825,3.6995999980717897,2922.7191999962088,11810.0,19.33422913528874,0.0,170,250,310,360,520,720,1600,2200,2900,2900,2900
GET,GET /api/ -> https://httpbin.org/,2395,0,210.0,850.4017838412902,44.09390001092106,30695.655899995472,307.11899791231735,19.985100897288103,0.0,210,290,380,430,610,860,2600,30000,31000,31000,31000
GET,GET /api/ -> https://locust.io/,2319,0,180.0,273.88791457487906,3.660599992144853,3382.826200017007,4762.0,19.350918154827184,0.0,180,270,330,380,540,770,1600,2200,2800,3400,3400
GET,GET /api/ -> https://redis.io/,2322,0,170.0,305.50132308327613,3.732299985131249,4522.812999988673,7221.0,19.375951684134854,0.0,170,260,330,380,560,850,2300,3300,4200,4500,4500
GET,GET /api/ -> https://training.play-with-docker.com/,2313,0,200.0,281.9088941634616,38.8579000136815,2920.2126000018325,1424.0,19.30085109621185,0.0,200,280,330,380,510,660,1100,2300,2800,2900,2900
GET,GET /api/ -> https://www.python.org/,2342,0,140.0,235.89021468826203,3.562199999578297,2962.0463000028394,12980.0,19.542841879519305,0.0,140,230,310,360,520,710,1100,1900,2700,3000,3000
,Aggregated,23581,0,170.0,582.2754163903393,3.562199999578297,30830.23629998206,6701.958992409143,196.7718848680379,0.0,170,260,330,390,580,870,2300,30000,30000,31000,31000
