Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,437,0,30000.0,18834.31930251705,220.18269999534823,31219.803599989973,27.814645308924486,3.7631034751739767,0.0,30000,30000,30000,30000,30000,30000,31000,31000,31000,31000,31000
GET,GET /api/ -> https://books.toscrape.com/,356,0,30000.0,18368.084125280602,997.8395000216551,32006.326800008537,3857.8651685393256,3.0655945930479076,0.0,30000,30000,30000,30000,30000,31000,31000,32000,32000,32000,32000
GET,GET /api/ -> https://docs.docker.com/,139,0,5800.0,7397.606224457527,738.3707000117283,21983.21780000697,1741.0,1.1969596866114023,0.0,5800,8400,11000,12000,15000,18000,21000,21000,22000,22000,22000
GET,GET /api/ -> https://flask.palletsprojects.com/,125,0,7300.0,8765.927868800005,1120.9144000022206,30276.93389999331,19509.664,1.076402595873563,0.0,7300,11000,12000,14000,18000,20000,22000,24000,30000,30000,30000
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,102,0,8100.0,9210.369061767957,1402.4115999927744,31704.498899984173,11462.64705882353,0.8783445182328276,0.0,8100,10000,12000,13000,16000,19000,30000,30000,32000,32000,32000
GET,GET /api/ -> https://httpbin.org/,195,1,5700.0,10197.592127178974,705.199599993648,31691.557800018927,261.77435897435896,1.6791880495627585,0.008611220766988505,5700,9500,14000,19000,30000,31000,32000,32000,32000,32000,32000
GET,GET /api/ -> https://locust.io/,108,0,6100.0,8393.750890739386,717.8297999780625,30014.780900004553,4585.62962962963,0.9300118428347586,0.0,6200,8500,11000,13000,18000,26000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://redis.io/,114,0,10000.0,11187.218775439409,3205.9604999958538,30019.80869998806,7094.315789473684,0.9816791674366896,0.0,10000,13000,15000,15000,17000,22000,29000,30000,30000,30000,30000
GET,GET /api/ -> https://training.play-with-docker.com/,90,0,4400.0,5589.972692222929,628.0587000073865,18364.86479997984,1424.0,0.7750098690289654,0.0,4700,6700,8500,9000,13000,13000,17000,18000,18000,18000,18000
GET,GET /api/ -> https://www.python.org/,152,0,6300.0,7469.474571053548,556.0411000042222,27508.503599994583,12980.0,1.3089055565822527,0.0,6300,9300,10000,11000,15000,18000,23000,26000,28000,28000,28000
,Aggregated,1818,1,8300.0,13004.377093179219,220.18269999534823,32006.326800008537,4780.86798679868,15.655199354385102,0.008611220766988505,8300,14000,30000,30000,30000,30000,31000,31000,32000,32000,32000
