Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/ -> http://example.com/,295,0,5400.0,12590.05878745673,130.5712999892421,30474.4975999929,42.96610169491525,2.4656668132605457,0.0,5400,27000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://books.toscrape.com/,284,0,7000.0,13822.742876761327,641.6091999853961,30112.922300002538,5084.619718309859,2.373726694799983,0.0,7200,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://docs.docker.com/,148,0,5600.0,7342.053989190144,361.6844000061974,30029.053500009468,1693.945945945946,1.2370125029239347,0.0,5600,8500,10000,11000,16000,23000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://flask.palletsprojects.com/,133,0,6400.0,7683.343095488494,806.3519000133965,30011.001400009263,19371.255639097744,1.1116396141140765,0.0,6400,8300,10000,11000,16000,24000,27000,30000,30000,30000,30000
GET,GET /api/ -> https://github.com/ibnesayeed/linkextractor,113,0,7000.0,8746.151085840476,1205.494900001213,30037.409600015962,11600.973451327434,0.9444757623675989,0.0,7000,9300,11000,13000,19000,22000,25000,30000,30000,30000,30000
GET,GET /api/ -> https://httpbin.org/,211,0,5300.0,9649.728045498145,554.0444999933243,30093.3481999964,256.6303317535545,1.7635786359253396,0.0,5300,8000,14000,18000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://locust.io/,120,0,5800.0,7446.466114165621,623.2677000225522,30077.545100008138,4603.266666666666,1.002983110478866,0.0,6000,8200,9900,11000,16000,22000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://redis.io/,126,0,9100.0,10891.41522698582,2243.7484000111,30020.93369999784,6877.142857142857,1.0531322660028093,0.0,9100,12000,13000,16000,23000,28000,30000,30000,30000,30000,30000
GET,GET /api/ -> https://training.play-with-docker.com/,105,0,5900.0,7459.730665715567,554.5339000236709,30002.2340999858,1410.4380952380952,0.8776102216690078,0.0,5900,8700,11000,12000,15000,21000,24000,26000,30000,30000,30000
GET,GET /api/ -> https://www.python.org/,166,0,4600.0,7119.227274698493,355.74980001547374,30027.1170999913,12589.036144578313,1.3874599694957648,0.0,4600,7300,9600,11000,18000,24000,30000,30000,30000,30000,30000
,Aggregated,1701,0,6100.0,9996.237702234155,130.5712999892421,30474.4975999929,5470.684891240447,14.217285591037927,0.0,6100,9500,13000,18000,30000,30000,30000,30000,30000,30000,30000
