cenario,carga,usuarios,requisicoes,falhas,mediana_ms,p90_ms,p95_ms,p99_ms,media_ms,min_ms,max_ms,rps,timestamp
py_nocache,baixa,100,1294,2,7500.0,7979.4003381768525,152.14179997565225,25193.092000001343,6910.483771251932,10.815683933795802,0.01671666759473849,7500,2026-05-15T19:07:52
py_nocache,media,200,1765,0,11000.0,9838.914193484481,89.01390002574772,20466.2299999909,7090.312747875354,15.284760162161017,0.0,11000,2026-05-15T19:19:01
py_nocache,alta,350,1583,2,18000.0,15738.361969235923,84.89369999733754,30021.695200004615,5788.468730259002,13.314615509365984,0.016822003170392903,18000,2026-05-15T19:21:19
py_cache,baixa,100,11820,0,190.0,722.1961706006898,5.417599983047694,30850.772600009805,7137.841455160745,99.00649596690906,0.0,190,2026-05-15T19:24:42
py_cache,media,200,5906,0,980.0,3081.201117914066,18.59700001659803,21527.416700002505,7109.811378259397,49.64609716575387,0.0,980,2026-05-15T19:27:06
py_cache,alta,350,5441,0,710.0,5041.484498437869,16.405200003646314,26307.59529999341,6977.259878698768,44.9226161970324,0.0,710,2026-05-15T19:29:29
rb_nocache,baixa,100,1242,0,6200.0,8243.456922544445,103.21569998632185,30562.619800009998,6304.782608695652,10.535596190500984,0.0,6200,2026-05-15T19:31:47
rb_nocache,media,200,1701,0,6100.0,9996.237702234155,130.5712999892421,30474.4975999929,5470.684891240447,14.217285591037927,0.0,6100,2026-05-15T19:34:07
rb_nocache,alta,350,1818,1,8300.0,13004.377093179219,220.18269999534823,32006.326800008537,4780.86798679868,15.655199354385102,0.008611220766988505,8300,2026-05-15T19:36:28
rb_cache,baixa,100,22686,0,160.0,258.00341360315394,3.1796999974176288,22392.36759999767,6776.236577624967,198.70850875241806,0.0,160,2026-05-15T19:40:25
rb_cache,media,200,23581,0,170.0,582.2754163903393,3.562199999578297,30830.23629998206,6701.958992409143,196.7718848680379,0.0,170,2026-05-15T19:43:22
rb_cache,alta,350,23670,0,170.0,844.8414473384746,3.551799978595227,31505.55100000929,6642.549218419941,199.28215850801652,0.0,170,2026-05-15T19:45:41
